n,instance,run,seed,status,energy,objective,violated_cons,tw_violations,feasible,var_count,term_count,build_sec,wall_sec
60,n60w20.001,1,1,ok,586,586,0,0,True,1223,24709,1.257,37.38
60,n60w20.001,2,2,ok,586,586,0,0,True,1223,24709,1.052,37.28
60,n60w20.001,3,3,ok,586,586,0,0,True,1223,24709,1.005,37.14
60,n60w20.001,4,4,ok,586,586,0,0,True,1223,24709,3.607,37.59
60,n60w20.001,5,5,ok,586,586,0,0,True,1223,24709,3.242,40.35
60,n60w20.001,6,6,ok,586,586,0,0,True,1223,24709,3.625,37.65
60,n60w20.001,7,7,ok,586,586,0,0,True,1223,24709,3.156,40.14
60,n60w20.001,8,8,ok,586,586,0,0,True,1223,24709,1.001,35.04
60,n60w20.001,9,9,ok,586,586,0,0,True,1223,24709,3.053,38.11
60,n60w20.001,10,10,ok,586,586,0,0,True,1223,24709,3.235,38.22
60,n60w40.001,1,1,ok,664,664,0,0,True,2232,117244,2.019,39.04
60,n60w40.001,2,2,ok,664,664,0,0,True,2232,117244,1.124,37.09
60,n60w40.001,3,3,ok,664,664,0,0,True,2232,117244,1.116,37.05
60,n60w40.001,4,4,ok,664,664,0,0,True,2232,117244,1.093,37.00
60,n60w40.001,5,5,ok,664,664,0,0,True,2232,117244,1.068,36.98
60,n60w40.001,6,6,ok,664,664,0,0,True,2232,117244,1.086,37.11
60,n60w40.001,7,7,ok,664,664,0,0,True,2232,117244,1.083,37.19
60,n60w40.001,8,8,ok,664,664,0,0,True,2232,117244,1.081,36.36
60,n60w40.001,9,9,ok,664,664,0,0,True,2232,117244,1.618,38.58
60,n60w40.001,10,10,ok,664,664,0,0,True,2232,117244,1.045,37.16
60,n60w60.001,1,1,ok,722,722,0,0,True,3226,266016,2.244,39.05
60,n60w60.001,2,2,ok,722,722,0,0,True,3226,266016,3.849,40.88
60,n60w60.001,3,3,ok,722,722,0,0,True,3226,266016,3.875,40.77
60,n60w60.001,4,4,ok,722,722,0,0,True,3226,266016,1.217,37.36
60,n60w60.001,5,5,ok,722,722,0,0,True,3226,266016,1.268,37.41
60,n60w60.001,6,6,ok,722,722,0,0,True,3226,266016,1.167,37.32
60,n60w60.001,7,7,ok,722,722,0,0,True,3226,266016,1.153,37.13
60,n60w60.001,8,8,ok,722,722,0,0,True,3226,266016,1.209,37.16
60,n60w60.001,9,9,ok,722,722,0,0,True,3226,266016,1.165,36.33
60,n60w60.001,10,10,ok,722,722,0,0,True,3226,266016,1.714,38.86
60,n60w80.001,1,1,ok,606,606,0,0,True,4869,721327,2.398,38.81
60,n60w80.001,2,2,ok,606,606,0,0,True,4869,721327,4.276,40.79
60,n60w80.001,3,3,ok,606,606,0,0,True,4869,721327,4.239,40.80
60,n60w80.001,4,4,ok,606,606,0,0,True,4869,721327,4.257,40.73
60,n60w80.001,5,5,ok,606,606,0,0,True,4869,721327,4.135,40.73
60,n60w80.001,6,6,ok,606,606,0,0,True,4869,721327,2.968,37.18
60,n60w80.001,7,7,ok,606,606,0,0,True,4869,721327,3.954,40.66
60,n60w80.001,8,8,ok,606,606,0,0,True,4869,721327,4.173,40.53
60,n60w80.001,9,9,ok,606,606,0,0,True,4869,721327,1.698,37.47
60,n60w80.001,10,10,ok,606,606,0,0,True,4869,721327,3.566,40.87
60,n60w100.001,1,1,ok,1163,1163,1,0,False,5595,1247481,2.463,38.54
60,n60w100.001,2,2,ok,580,580,0,0,True,5595,1247481,4.538,40.58
60,n60w100.001,3,3,ok,1163,1163,1,0,False,5595,1247481,1.688,35.01
60,n60w100.001,4,4,ok,1163,576,1,0,True,5595,1247481,3.742,40.21
60,n60w100.001,5,5,ok,1163,1163,1,0,False,5595,1247481,2.063,37.19
60,n60w100.001,6,6,ok,1163,1163,1,0,False,5595,1247481,1.802,37.04
60,n60w100.001,7,7,ok,1163,1163,1,0,False,5595,1247481,1.721,37.28
60,n60w100.001,8,8,ok,580,580,0,0,True,5595,1247481,1.725,37.84
60,n60w100.001,9,9,ok,1163,1163,1,0,False,5595,1247481,4.710,40.71
60,n60w100.001,10,10,ok,576,576,0,0,True,5595,1247481,1.682,37.20
