n,instance,run,seed,status,energy,objective,violated_cons,tw_violations,feasible,var_count,term_count,build_sec,wall_sec
20,n20w20.001,1,1,ok,387,387,0,0,True,363,4528,1.013,33.08
20,n20w20.001,2,2,ok,387,387,0,0,True,363,4528,0.911,36.87
20,n20w20.001,3,3,ok,387,387,0,0,True,363,4528,0.911,36.63
20,n20w20.001,4,4,ok,387,387,0,0,True,363,4528,0.924,36.87
20,n20w20.001,5,5,ok,387,387,0,0,True,363,4528,2.540,34.58
20,n20w20.001,6,6,ok,387,387,0,0,True,363,4528,2.587,34.72
20,n20w20.001,7,7,ok,387,387,0,0,True,363,4528,0.999,34.06
20,n20w20.001,8,8,ok,387,387,0,0,True,363,4528,2.884,36.96
20,n20w20.001,9,9,ok,387,387,0,0,True,363,4528,2.545,39.35
20,n20w20.001,10,10,ok,387,387,0,0,True,363,4528,0.941,36.88
40,n40w20.001,1,1,ok,526,526,0,0,True,882,17426,1.018,37.09
40,n40w20.001,2,2,ok,527,527,0,0,True,882,17426,3.037,40.18
40,n40w20.001,3,3,ok,527,527,0,0,True,882,17426,0.974,36.34
40,n40w20.001,4,4,ok,526,526,0,0,True,882,17426,1.510,38.80
40,n40w20.001,5,5,ok,526,526,0,0,True,882,17426,1.065,37.28
40,n40w20.001,6,6,ok,526,526,0,0,True,882,17426,2.326,34.34
40,n40w20.001,7,7,ok,526,526,0,0,True,882,17426,3.149,40.35
40,n40w20.001,8,8,ok,526,526,0,0,True,882,17426,1.015,37.24
40,n40w20.001,9,9,ok,524,524,0,0,True,882,17426,2.299,34.26
40,n40w20.001,10,10,ok,526,526,0,0,True,882,17426,3.113,40.27
60,n60w20.001,1,1,ok,586,586,0,0,True,1223,24709,1.064,37.28
60,n60w20.001,2,2,ok,586,586,0,0,True,1223,24709,1.011,37.26
60,n60w20.001,3,3,ok,586,586,0,0,True,1223,24709,3.501,40.76
60,n60w20.001,4,4,ok,586,586,0,0,True,1223,24709,1.052,37.11
60,n60w20.001,5,5,ok,586,586,0,0,True,1223,24709,0.988,35.02
60,n60w20.001,6,6,ok,586,586,0,0,True,1223,24709,2.915,39.98
60,n60w20.001,7,7,ok,586,586,0,0,True,1223,24709,0.988,36.24
60,n60w20.001,8,8,ok,586,586,0,0,True,1223,24709,1.532,38.70
60,n60w20.001,9,9,ok,586,586,0,0,True,1223,24709,3.629,40.75
60,n60w20.001,10,10,ok,586,586,0,0,True,1223,24709,0.981,36.96
80,n80w20.001,1,1,ok,729,729,0,0,True,1812,46725,2.571,39.77
80,n80w20.001,2,2,ok,729,729,0,0,True,1812,46725,1.094,37.13
80,n80w20.001,3,3,ok,729,729,0,0,True,1812,46725,3.582,37.49
80,n80w20.001,4,4,ok,729,729,0,0,True,1812,46725,3.446,40.53
80,n80w20.001,5,5,ok,729,729,0,0,True,1812,46725,1.014,34.99
80,n80w20.001,6,6,ok,729,729,0,0,True,1812,46725,3.479,40.58
80,n80w20.001,7,7,ok,729,729,0,0,True,1812,46725,1.001,34.96
80,n80w20.001,8,8,ok,729,729,0,0,True,1812,46725,3.244,40.42
80,n80w20.001,9,9,ok,729,729,0,0,True,1812,46725,1.052,35.03
80,n80w20.001,10,10,ok,729,729,0,0,True,1812,46725,3.225,38.18
100,n100w20.001,1,1,ok,827,827,0,0,True,2050,46892,2.084,39.02
100,n100w20.001,2,2,ok,827,827,0,0,True,2050,46892,1.021,34.99
100,n100w20.001,3,3,ok,827,827,0,0,True,2050,46892,3.049,40.17
100,n100w20.001,4,4,ok,827,827,0,0,True,2050,46892,1.048,37.16
100,n100w20.001,5,5,ok,827,827,0,0,True,2050,46892,1.045,35.03
100,n100w20.001,6,6,ok,827,827,0,0,True,2050,46892,2.939,39.95
100,n100w20.001,7,7,ok,827,827,0,0,True,2050,46892,1.017,35.08
100,n100w20.001,8,8,ok,827,827,0,0,True,2050,46892,2.960,37.94
100,n100w20.001,9,9,ok,827,827,0,0,True,2050,46892,3.178,40.20
100,n100w20.001,10,10,ok,827,827,0,0,True,2050,46892,1.055,37.30
150,n150w20.001,1,1,ok,1034,1034,0,0,True,3215,92557,3.016,39.80
150,n150w20.001,2,2,ok,1034,1034,0,0,True,3215,92557,1.125,36.23
150,n150w20.001,3,3,ok,1034,1034,0,0,True,3215,92557,1.648,38.68
150,n150w20.001,4,4,ok,1034,1034,0,0,True,3215,92557,3.803,40.56
150,n150w20.001,5,5,ok,1034,1034,0,0,True,3215,92557,1.141,37.24
150,n150w20.001,6,6,ok,1034,1034,0,0,True,3215,92557,1.397,37.45
150,n150w20.001,7,7,ok,1034,1034,0,0,True,3215,92557,1.175,37.01
150,n150w20.001,8,8,ok,1034,1034,0,0,True,3215,92557,1.182,35.13
150,n150w20.001,9,9,ok,1034,1034,0,0,True,3215,92557,3.179,40.06
150,n150w20.001,10,10,ok,1034,1034,0,0,True,3215,92557,1.194,37.32
