inst,form,seed,feasible,travel,best,visited,tw_viol,vars,terms,build
n20w100.001,prec,1,True,253,237,20,0,347,347,0.953
n20w100.001,prec,2,True,258,237,20,0,347,347,0.904
n20w100.001,arc,1,False,166,237,15,0,336,336,0.900
n20w100.001,arc,2,False,166,237,15,0,336,336,0.885
n20w100.001,occ,1,True,237,237,20,0,2517,393624,1.025
n20w100.001,occ,2,True,237,237,20,0,2517,393624,1.024
n40w20.001,prec,1,True,500,500,40,0,397,397,0.877
n40w20.001,prec,2,False,497,500,40,1,397,397,0.918
n40w20.001,arc,1,True,500,500,40,0,300,301,0.954
n40w20.001,arc,2,False,25,500,4,0,300,301,0.940
n40w20.001,occ,1,True,501,500,40,0,1120,31450,0.955
n40w20.001,occ,2,True,500,500,40,0,1120,31450,0.974
n40w60.001,prec,1,True,506,494,40,0,595,595,0.876
n40w60.001,prec,2,True,495,494,40,0,595,595,1.005
n40w60.001,arc,1,False,158,494,20,0,567,567,0.905
n40w60.001,arc,2,False,158,494,20,0,567,567,0.875
n40w60.001,occ,1,True,504,494,40,0,3278,394552,1.029
n40w60.001,occ,2,True,507,494,40,0,3278,394552,1.038
n40w100.001,prec,1,True,471,429,40,0,829,829,0.895
n40w100.001,prec,2,True,456,429,40,0,829,829,0.941
n40w100.001,arc,1,False,211,429,23,0,959,959,0.861
n40w100.001,arc,2,False,193,429,20,0,959,959,0.975
n40w100.001,occ,1,True,436,429,40,0,5447,1405186,1.297
n40w100.001,occ,2,True,441,429,40,0,5447,1405186,1.317
n60w20.001,prec,1,True,552,551,60,0,577,577,0.936
n60w20.001,prec,2,True,554,551,60,0,577,577,0.926
n60w20.001,arc,1,False,42,551,8,0,483,483,1.188
n60w20.001,arc,2,False,42,551,8,0,483,483,1.016
n60w20.001,occ,1,True,551,551,60,0,1593,47088,0.875
n60w20.001,occ,2,True,547,551,60,0,1593,47088,0.931
n60w60.001,prec,1,True,616,609,60,0,865,865,1.031
n60w60.001,prec,2,True,619,609,60,0,865,865,0.931
n60w60.001,arc,1,False,509,609,43,0,879,879,0.934
n60w60.001,arc,2,False,509,609,43,0,879,879,0.919
n60w60.001,occ,1,True,618,609,60,0,4004,481163,1.070
n60w60.001,occ,2,True,617,609,60,0,4004,481163,1.296
n60w100.001,prec,1,False,574,515,60,2,1257,1257,0.906
n60w100.001,prec,2,True,556,515,60,0,1257,1257,0.906
n60w100.001,arc,1,False,394,515,38,0,1616,1616,0.962
n60w100.001,arc,2,False,215,515,33,0,1616,1616,0.903
n60w100.001,occ,1,True,548,515,60,0,7366,2504029,1.583
n60w100.001,occ,2,True,552,515,60,0,7366,2504029,1.558
n80w40.001,prec,1,True,636,606,80,0,1097,1097,0.931
n80w40.001,prec,2,True,631,606,80,0,1097,1097,1.058
n80w40.001,arc,1,False,513,606,59,0,1081,1082,0.916
n80w40.001,arc,2,False,525,606,61,0,1081,1082,1.065
n80w40.001,occ,1,True,620,606,80,0,4099,288701,1.063
n80w40.001,occ,2,True,614,606,80,0,4099,288701,0.996
n80w80.001,prec,1,False,690,624,80,2,1407,1407,0.977
n80w80.001,prec,2,True,674,624,80,0,1407,1407,0.951
n80w80.001,arc,1,False,506,624,54,0,1650,1650,1.014
n80w80.001,arc,2,False,357,624,34,0,1650,1650,0.950
n80w80.001,occ,1,True,646,624,80,0,7737,1811520,1.480
n80w80.001,occ,2,True,652,624,80,0,7737,1811520,1.418
n100w20.001,prec,1,True,742,738,100,0,952,952,0.961
n100w20.001,prec,2,True,743,738,100,0,952,952,0.905
n100w20.001,arc,1,True,741,738,100,0,811,812,0.939
n100w20.001,arc,2,True,741,738,100,0,811,812,0.998
n100w20.001,occ,1,True,739,738,100,0,2706,87700,0.934
n100w20.001,occ,2,True,739,738,100,0,2706,87700,1.045
n100w60.001,prec,1,False,787,655,100,7,1939,1939,0.946
n100w60.001,prec,2,True,727,655,100,0,1939,1939,1.042
n100w60.001,arc,1,False,385,655,37,0,2467,2468,1.005
n100w60.001,arc,2,False,275,655,39,0,2467,2468,1.032
n100w60.001,occ,1,True,680,655,100,0,8388,1537975,1.374
n100w60.001,occ,2,True,693,655,100,0,8388,1537975,1.911
n150w40.001,prec,1,False,969,918,150,11,2299,2299,2.147
n150w40.001,prec,2,False,971,918,150,2,2299,2299,1.055
n150w40.001,arc,1,False,744,918,90,0,2763,2767,1.028
n150w40.001,arc,2,False,774,918,99,0,2763,2767,1.016
n150w40.001,occ,1,True,931,918,150,0,7655,881158,1.340
n150w40.001,occ,2,True,929,918,150,0,7655,881158,1.310
n200w20.001,prec,1,True,1040,1019,200,0,2278,2278,1.258
n200w20.001,prec,2,False,1054,1019,200,3,2278,2278,1.193
n200w20.001,arc,1,False,390,1019,96,0,2489,2490,1.073
n200w20.001,arc,2,False,355,1019,85,0,2489,2490,1.134
n200w20.001,occ,1,True,1036,1019,200,0,5660,280748,1.203
n200w20.001,occ,2,True,1033,1019,200,0,5660,280748,1.150
n200w40.001,prec,1,False,1137,1023,200,4,3263,3263,1.258
n200w40.001,prec,2,False,1123,1023,200,3,3263,3263,1.247
n200w40.001,arc,1,False,380,1023,79,0,4162,4164,1.137
n200w40.001,arc,2,False,677,1023,86,0,4162,4164,1.182
n200w40.001,occ,1,False,1048,1023,199,0,11175,1456894,1.639
n200w40.001,occ,2,False,1068,1023,199,0,11175,1456894,1.564
